CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
39726,"ARRAN, MACHRIE MOOR 10",CAIRN (BRONZE AGE),BUTESHIRE,NR 90058 32655,190058.0,632655.0,https://canmore.org.uk/site/39726/,cairn
39730,"ARRAN, CLAUCHAN WATER",CAIRN (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 91 30,191000.0,630000.0,https://canmore.org.uk/site/39730/,cairn
39731,"MOSS FARM, ARRAN",HUT CIRCLE(S) (PREHISTORIC),BUTESHIRE,NR 90 32,190000.0,632000.0,https://canmore.org.uk/site/39731/,roundhouse
39738,"MOSS FARM, ARRAN",HUT CIRCLE(S) (PREHISTORIC),BUTESHIRE,NR 90626 32476,190626.0,632476.0,https://canmore.org.uk/site/39738/,roundhouse
39739,"MOSS FARM, ARRAN","ENCLOSURE (PREHISTORIC), HUT CIRCLE (PREHISTORIC)",BUTESHIRE,NR 90497 32516,190497.0,632516.0,https://canmore.org.uk/site/39739/,roundhouse
39740,"MOSS FARM, ARRAN",CAIRNFIELD (PREHISTORIC),BUTESHIRE,NR 90581 32269,190581.0,632269.0,https://canmore.org.uk/site/39740/,cairn
39741,"TORMORE, ARRAN",CAIRNFIELD (PREHISTORIC),BUTESHIRE,NR 90062 31362,190062.0,631362.0,https://canmore.org.uk/site/39741/,cairn
39742,"ARRAN, TORMORE",CLEARANCE CAIRN (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 90107 31424,190107.0,631424.0,https://canmore.org.uk/site/39742/,cairn
39743,"TORMORE, ARRAN","CAIRN (PREHISTORIC)(POSSIBLE), SITE (PERIOD UNKNOWN)",BUTESHIRE,NR 9007 3138,190070.0,631380.0,https://canmore.org.uk/site/39743/,cairn
39744,"ARRAN, TORMORE","CAIRN (PERIOD UNKNOWN)(POSSIBLE), NATURAL FEATURE (PERIOD UNASSIGNED)",BUTESHIRE,NR 9002 3122,190020.0,631220.0,https://canmore.org.uk/site/39744/,cairn
39745,"TORMORE, ARRAN",CAIRNFIELD (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 9023 3126,190230.0,631260.0,https://canmore.org.uk/site/39745/,cairn
39746,"TORMORE, ARRAN",CLEARANCE CAIRN (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 9019 3141,190190.0,631410.0,https://canmore.org.uk/site/39746/,cairn
39747,"TORMORE, ARRAN",CLEARANCE CAIRN (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 90240 31425,190240.0,631425.0,https://canmore.org.uk/site/39747/,cairn
39748,"ARRAN, MACHRIE MOOR",CHAMBERED CAIRN (NEOLITHIC),BUTESHIRE,NR 90308 32899,190308.0,632899.0,https://canmore.org.uk/site/39748/,cairn
39749,"ARRAN, MOSS FARM",HUT CIRCLE (PREHISTORIC),BUTESHIRE,NR 90626 32160,190626.0,632160.0,https://canmore.org.uk/site/39749/,roundhouse
39750,"ARRAN, MOSS FARM",CLEARANCE CAIRN (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 90651 32150,190651.0,632150.0,https://canmore.org.uk/site/39750/,cairn
39751,"ARRAN, MOSS FARM",HUT CIRCLE (PREHISTORIC),BUTESHIRE,NR 90428 32646,190428.0,632646.0,https://canmore.org.uk/site/39751/,roundhouse
39752,"ARRAN, GATE COTTAGE",CAIRNFIELD (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 9177 3404,191770.0,634040.0,https://canmore.org.uk/site/39752/,cairn
39753,"ARRAN, ALLT DUBH",CAIRNFIELD (PREHISTORIC)(POSSIBLE),BUTESHIRE,NR 9210 3410,192100.0,634100.0,https://canmore.org.uk/site/39753/,cairn
