bng_x,bng_y,class,conf,votes,status,nearest_dist_m
225618.7518420043,579984.6971051648,roundhouse,0.29240724742412566,5,novel,5692.3
226463.50797714439,579568.3299130779,smallcairn,0.23868960390488306,6,novel,5139.2
227162.39289724533,579955.9759288083,smallcairn,0.4044626568044935,7,novel,4427.7
227562.58134755664,579716.0329639881,smallcairn,0.48731494322419167,8,novel,4033.1
227549.40663114033,579694.0135192343,smallcairn,0.4915422033518553,8,novel,4047.5
227381.4878953635,579513.4289442468,roundhouse,0.5558395832777023,8,novel,5537.4
227385.10835450471,579626.4449411851,roundhouse,0.4908328652381897,7,novel,5645.2
227567.53877283775,579729.1983726055,smallcairn,0.3079055901616812,8,novel,4027.5
227575.3239989967,579775.5905636068,smallcairn,0.2604895159602165,6,novel,4017.6
227380.86729405282,579770.1953513419,roundhouse,0.34709926197926205,6,novel,5779.9
227250.84591788737,579990.9155979702,smallcairn,0.33551211655139923,5,novel,4339.6
224367.90847710526,579322.3510923969,roundhouse,0.2670741111040115,5,novel,5163.0
224787.75490727948,579112.8316831981,smallcairn,0.29598717604364666,7,novel,4970.0
226224.45258724905,579343.3443599442,smallcairn,0.3239264615944454,7,novel,5397.5
226171.5566556434,579314.731331438,smallcairn,0.3550392724573612,8,novel,5453.3
226244.52377235127,579326.5653585948,roundhouse,0.3157627110679944,6,novel,5083.3
226455.09523748962,579267.3953448803,smallcairn,0.2744877611597379,6,novel,5177.5
226466.67770993535,579282.4134632524,smallcairn,0.3517624944448471,5,novel,5164.1
226320.79449727686,579414.0138388481,roundhouse,0.2287737250328064,5,novel,5181.0
227024.7853597493,579435.4237143219,smallcairn,0.3758763099710147,6,novel,4591.9
227636.1213364028,579351.4446169514,roundhouse,0.40168951749801635,5,novel,5477.5
225736.60516309956,578925.5346592879,smallcairn,0.24351179897785186,5,novel,5177.3
226328.47618227848,579061.2490515091,smallcairn,0.285025658706824,6,novel,5332.8
227366.21352260484,578956.93112404,roundhouse,0.24904447495937349,5,novel,5010.5
229378.05630537533,578734.0137562072,smallcairn,0.2224634438753128,6,novel,2514.6
225998.28900245752,578468.751556425,roundhouse,0.2922009403506915,6,novel,4201.4
225726.3473125161,578424.627706549,smallcairn,0.27491140152726856,7,novel,4739.2
227013.55139571073,578461.4011112886,roundhouse,0.39947211369872093,8,novel,4422.9
229404.96383993738,578655.1487603142,smallcairn,0.28008138069084715,7,novel,2529.7
226652.7573042582,578450.2684267838,roundhouse,0.29932935784260434,6,novel,4304.9
227014.102539479,578454.4923908308,roundhouse,0.36325211450457573,8,novel,4416.5
226710.51961256066,577837.2224014681,roundhouse,0.35938800871372223,5,novel,3734.1
227922.02940920927,577759.4483864247,roundhouse,0.277181950211525,5,novel,4208.8
226949.3826056738,577504.8275032847,roundhouse,0.2814898282289505,5,novel,3509.5
227373.08286134558,577505.513991605,roundhouse,0.46690839529037476,6,novel,3701.2
228665.4277182023,577522.2959226224,roundhouse,0.3977465555071831,8,novel,4497.5
229387.120819838,577250.9469411122,roundhouse,0.48106931362833294,7,novel,4856.8
227126.70685704652,576836.0492692849,smallcairn,0.1956631451845169,5,novel,4579.8
227525.1291143574,577030.6743996141,roundhouse,0.6922203103701273,6,novel,3384.6
227547.26052735525,577061.2105109387,smallcairn,0.3672227646623339,7,novel,4957.2
227851.23181837072,576929.1394048543,roundhouse,0.5760954096913338,8,novel,3509.2
227835.225577957,576854.5412718526,smallcairn,0.3163628897496632,7,novel,4853.5
227819.89917307624,576880.8307075285,smallcairn,0.3475648228611265,7,novel,4848.8
227810.6720925641,576908.7186432368,smallcairn,0.2980274520814419,8,novel,4838.5
228799.55278086208,576868.3128470628,smallcairn,0.38998375833034515,6,novel,4142.5
228753.32181314583,576808.3772745128,smallcairn,0.2878659933805466,5,novel,4218.0
229424.1739468245,577117.3073946085,smallcairn,0.35004925089223043,7,novel,3549.9
229793.34615978607,577105.4201756695,smallcairn,0.28308683931827544,5,novel,3347.6
228242.73862518926,576698.6079599232,smallcairn,0.22809833536545435,6,novel,4652.5
228266.86599649378,576558.0413663253,smallcairn,0.2080693155527115,5,novel,4734.3
228385.17663569198,576674.0064249255,smallcairn,0.36560603603720665,8,novel,4568.6
228368.38852490648,576658.7227596266,smallcairn,0.2946471646428108,6,novel,4591.3
228404.78276653707,576654.4869481629,smallcairn,0.21205424020687738,6,novel,4568.9
228403.0381798372,576650.0831690747,smallcairn,0.1970211019118627,6,novel,4573.2
229026.2243731142,576753.4127990272,shieling,0.39600762724876404,7,novel,4590.2
229011.1769885808,576736.8694223197,shieling,0.2789322674274445,5,novel,4569.8
229129.70173767256,576457.3505736729,shieling,0.27272273004055025,5,novel,4578.1
228218.3997684853,576324.5964277313,roundhouse,0.4882336612790823,8,novel,3365.7
228572.81914678932,575947.085666665,roundhouse,0.4811648242175579,8,novel,3459.0
228920.95005404277,575729.7699992766,roundhouse,0.407083697617054,6,novel,3678.2
229483.3911403987,575054.5252558684,smallcairn,0.27761001884937286,7,novel,3364.8
229419.60790686053,575026.6934721278,roundhouse,0.21418964564800264,5,novel,3953.3
229469.49612241195,575028.4059240331,smallcairn,0.29459576308727264,6,novel,3370.9
229595.04989240214,575172.1142507318,roundhouse,0.39267932375272113,6,novel,4154.1
229498.9821537971,575020.3240079675,smallcairn,0.2165654574831327,6,novel,3340.3
229498.76188702337,575056.0594863116,smallcairn,0.19749458985669271,7,novel,3350.5
225212.74382008868,579833.0801228822,smallcairn,0.2966003268957138,6,novel,5789.5
225441.5687945195,579957.3395289861,roundhouse,0.2855216988495418,7,novel,5665.1
226272.00686458053,579511.646943247,roundhouse,0.31626701603333157,6,novel,5270.4
227524.07135166906,579698.6514886479,smallcairn,0.30980213979880017,6,novel,4072.5
227598.3272170665,579883.6599384141,shieling,0.3798740327358246,5,novel,5684.7
225997.158211694,578663.9026689478,shieling,0.3118675321340561,5,novel,3919.4
227955.72464853752,578673.3262660876,shieling,0.2415893167257309,5,novel,4888.7
227941.86048361557,578156.5375838195,smallcairn,0.3365481734275818,5,novel,4056.4
228405.92008801852,577585.3504012777,roundhouse,0.34696887731552123,5,novel,4368.3
227956.470187976,576871.4687402248,roundhouse,0.2242610514163971,5,novel,3537.2
227851.8609597777,576926.2914625098,roundhouse,0.49280939623713493,8,novel,3507.4
229241.69396827664,577149.697527935,smallcairn,0.34751262764136,6,novel,3639.3
227848.85890946464,576919.5574082402,roundhouse,0.342645463347435,5,novel,3500.4
229221.0663904179,575863.7710545885,roundhouse,0.2769856542348862,5,novel,4006.8
229237.73148567017,575977.3150631257,roundhouse,0.2901841253042221,5,novel,4067.8
226729.41255238338,579919.7760294426,roundhouse,0.3104317933320999,5,novel,5752.2
229593.8881799098,575169.758523107,roundhouse,0.361527959505717,6,novel,4152.5
223548.21633915236,584198.2922746538,roundhouse,0.6831398953994116,9,novel,10102.6
222634.35239084664,582889.3189498234,shieling,0.21799420714378356,5,novel,8255.5
221995.14629165924,589572.6358320727,roundhouse,0.28635246455669405,5,novel,14966.5
222229.97203648195,589596.0880088303,shieling,0.38419903566439945,6,novel,14851.9
222718.07163317432,589526.1424255522,smallcairn,0.31677270787102835,7,novel,12433.0
223402.85057423948,589984.9636627922,roundhouse,0.23315738141536713,5,novel,14200.4
222398.2778329626,589442.7286847048,roundhouse,0.4681063915292422,6,novel,14574.4
220859.47659087882,588986.666661775,roundhouse,0.17580875754356384,6,novel,14237.7
221734.343871021,588762.1192698962,roundhouse,0.439946673810482,8,novel,14178.8
221833.27496015036,588791.7170359754,smallcairn,0.42625370621681213,8,novel,12930.1
221969.8281716331,589042.2752272511,smallcairn,0.3056631535291672,5,novel,12902.3
221851.5113356898,588814.3227217378,smallcairn,0.29484916627407076,5,novel,12921.8
221232.6057348402,588727.2811285526,roundhouse,0.2653286516666412,5,novel,14044.7
220267.55052184573,588053.7079908516,roundhouse,0.38895554654300213,8,novel,13232.3
220793.23520771417,588334.6338978063,roundhouse,0.3634822020928065,6,novel,13583.3
221480.4095407495,588182.9047089485,roundhouse,0.486234256199428,7,novel,13558.9
221175.71194067647,587888.4683435254,roundhouse,0.5131424814462662,6,novel,13209.9
221020.4458814682,587954.6036721051,roundhouse,0.3312438249588013,5,novel,13246.4
220185.73448270856,586737.3794289215,shieling,0.5305290818214417,6,novel,12519.3
220497.72943451835,586131.4784291153,roundhouse,0.3971496174732844,6,novel,11361.1
221256.97207016515,585945.9573757303,shieling,0.4024122327566147,5,novel,11579.2
221387.10100957376,585972.5770425686,shieling,0.2536775196592013,6,novel,11565.3
220116.9614767508,584998.9370758125,roundhouse,0.3475127350538969,8,novel,10184.0
222006.48244173863,584979.4253637703,roundhouse,0.19357296228408813,5,novel,10599.6
222967.27003499473,585060.4511961838,roundhouse,0.3019701199872153,7,novel,11014.5
220118.91444661122,584531.8139991771,roundhouse,0.26310693969329196,6,novel,9722.1
220385.62645140095,584643.8033113123,smallcairn,0.2966890275478363,5,novel,9296.0
220298.48477585858,584597.8314467599,smallcairn,0.40202437128339497,7,novel,9257.0
223152.6995027058,584541.3522663022,roundhouse,0.3772580176591873,6,novel,10521.6
223005.4799732075,584804.3227444307,roundhouse,0.4015210618575414,6,novel,10794.4
222957.71629921757,584860.7316891459,roundhouse,0.4326133280992508,6,novel,10827.1
223277.8405446244,584320.6817561846,roundhouse,0.5225284807384014,8,novel,10278.6
223136.71945017143,583924.4420007786,roundhouse,0.2933190166950226,6,novel,9925.5
223162.25281123572,583807.1477920153,shieling,0.2199952652057012,6,novel,9032.6
223228.0652992423,583942.1767775272,roundhouse,0.3766486272215843,6,novel,9921.1
