bng_x,bng_y,class,conf,votes,status,nearest_dist_m
171540.4923945894,619559.2521489655,roundhouse,0.3561047890356609,7,novel,3053.1
172001.2992106661,619685.6676964534,roundhouse,0.5139231930176417,6,novel,2739.6
171684.22430604234,619519.8567485765,smallcairn,0.34368962049484253,7,novel,2084.9
172634.4818849274,619646.2112918283,shieling,0.5428735893219709,8,novel,2145.7
172173.98833257335,619452.7756483459,shieling,0.34035635242859524,6,novel,2557.6
172066.20699622616,619323.0908048087,shieling,0.35167067050933837,5,novel,2725.9
172167.8887995023,619470.8718118694,shieling,0.3844872606652124,7,novel,2546.6
173569.5946963364,618867.4946296343,roundhouse,0.2699750304222107,5,novel,3402.1
174493.08888739033,618801.9037539433,roundhouse,0.5299574974924326,8,novel,3724.8
171651.73788144268,618518.4481052316,shieling,0.30211202800273895,6,novel,3622.6
171421.35192950268,618564.379869951,roundhouse,0.3345171585679054,6,novel,3998.2
173322.54695957797,618436.4885631603,roundhouse,0.5421550944447517,8,novel,3801.0
174225.63527686344,618573.5154908078,roundhouse,0.3160347470215389,7,novel,3844.1
174677.63247008604,618653.5521940074,shieling,0.37689211538859774,7,novel,3035.1
171781.97760218277,619517.6118598285,shieling,0.35102150837580365,6,novel,2759.0
171615.27505224873,619401.2456844909,shieling,0.2915230214595795,5,novel,2958.4
171849.84051903203,619317.1978993661,shieling,0.37779806852340697,5,novel,2863.9
174640.84548236683,619183.7023815166,roundhouse,0.3446115404367447,5,novel,3443.8
171495.6523777045,618538.4093992674,smallcairn,0.32378954291343687,5,novel,2812.5
172653.1096170435,619660.3001575813,roundhouse,0.32559549510478974,5,novel,2592.8
174658.1670588738,618804.7456541319,shieling,0.184132382273674,5,novel,2886.1
174492.58445345104,618798.0716564325,roundhouse,0.556780566062246,7,novel,3728.1
174223.90034820972,618572.3062855318,roundhouse,0.27039781851427896,7,novel,3844.7
